id,source_id,subject,property,claim,value_text,value_number,unit,locator,quotation,evidence_basis,evidence_class,confidence,date_start,date_end,uncertainty,alternative_group,tags,review_status,created_by,model_used,response_id,source_sha256_at_creation
EVID-VALLEY-HYDROLOGY,SRC-PNAS-WATERSCAPES,Giza eastern plateau foot,Khufu branch level and harbor access,"Pollen-derived reconstruction indicates that the Khufu branch remained at a relatively high level during the reigns of Khufu, Khafre, and Menkaure and enabled navigation to the pyramid harbor complex.",navigable Khufu branch and seasonally supplied harbor system,,,Abstract; Figure 1; Figure 2 and discussion of Khufu-branch levels,,mixed,B,0.88,-2600,-2450,"The pollen proxy constrains relative branch level, not an exact 2500 BCE shoreline, inlet width, water depth, or season; larger cargo vessels were probably most viable during the annual flood.",,hydrology;Khufu branch;harbor;seasonal flooding,needs_review,manual_seed,,,
EVID-USER-ALL-WHITE,SRC-USER-BRIEF,Three great pyramids,presentation casing,"The requested image presents all three main pyramids in smooth polished white limestone with pristine sharp edges.",all-white pristine casing,,,User visual brief paragraph 1,,metadata,D,0.20,-2600,-2470,"Cinematic alternative: conflicts with Menkaure's granite lower casing and unfinished surface.",MENKAURE-CASING-APPEARANCE,presentation;all-white;cinematic,needs_review,manual_seed,,,
EVID-USER-CLEAN-STATE,SRC-USER-BRIEF,Giza plateau,presentation condition,"The requested image removes rubble and ruins, clears the Sphinx enclosure, and presents a clean completion state in warm low sunlight.",clean idealized completion state,,,User visual brief paragraph 1,,metadata,D,0.20,-2600,-2470,"Sand clearance, debris removal, precise weather, and simultaneous newness are illustrative.",,presentation;clean;lighting,needs_review,manual_seed,,,
EVID-USER-HISTORY-PRIORITY,SRC-USER-BRIEF,Giza reconstruction,presentation priority,"The later brief prioritizes verified history over the earlier all-white simultaneous-completion alternative and permits sober likely completion where evidence is incomplete.",evidence-led historical pass,,,Historical-correction addendum,,metadata,D,0.95,-2600,-2470,"This governs presentation choices but is not archaeological evidence.",,presentation;historical correction;uncertainty,needs_review,manual_seed,,,
EVID-KHAFRE-VALLEY-MATERIALS,SRC-EGY-KHAFRE,Khafre Valley Temple,materials,"Khafre's valley temple used massive limestone blocks encased in granite, alabaster floors, and monolithic granite pillars.",massive limestone with granite casing and alabaster floors,,,Main monument description,,textual,B,0.96,-2580,-2470,"A distant panorama can show the red granite massing and pale pavement but should not invent a fully visible interior plan.",,Khafre;valley temple;granite;alabaster,needs_review,manual_seed,,,
EVID-KHAFRE-GRANITE-BASE,SRC-HOLSCHER-CHEPHREN,Pyramid of Khafre,basal casing,"Excavated evidence supports a narrow basal band of reddish granite beneath Khafre's predominantly Tura-limestone casing.",one or possibly two basal granite courses,,,pp. 24 and 34-35,,mixed,A,0.88,-2580,-2470,"The exact visible number of courses around the whole pyramid is not uniform or completely preserved.",,Khafre;casing;granite;limestone,needs_review,manual_seed,,,
EVID-KHUFU-TEMPLE-FABRIC,SRC-AERA-GREAT-PYRAMID-TEMPLE,Khufu pyramid temple,materials and decoration,"Khufu's pyramid temple had a black basalt pavement and courtyard walls with carved and painted limestone reliefs; adjacent royal boat pits were stone-covered.",black basalt court with relief walls and sealed boat pits,,,lines 26-31 and 50-56,,mixed,B,0.92,-2600,-2470,"The complete wall elevations and relief program are reconstructed from fragmentary remains; keep relief color subtle at this scale.",,Khufu;pyramid temple;basalt;relief;boat pits,needs_review,manual_seed,,,
EVID-MENKAURE-TEMPLES-MUDBRICK,SRC-AERA-KKT-MVT,Menkaure pyramid complex,temple completion,"After Menkaure's death, Shepseskaf completed the valley temple in mudbrick; the official monument synthesis also records whitewashed-mudbrick completion for the mortuary and valley temples.",whitewashed mudbrick completing unfinished stone cores,,,lines 28-30; compare SRC-EGY-MENKAURE main monument description,,textual,B,0.95,-2510,-2470,"The exact completion stage at a single year around 2500 BCE depends on chronology; show a newly functional but materially expedient complex.",,Menkaure;Shepseskaf;temple;mudbrick;completion,needs_review,manual_seed,,,
EVID-MENKAURE-SUBSIDIARY-FORMS,SRC-REISNER-MYCERINUS,Menkaure subsidiary pyramids,completion state,"The eastern subsidiary G III-a was formed as a true pyramid and at least partly granite-cased, while G III-b and G III-c remained uncased stepped cores.",one true pyramid and two uncased step pyramids,,,pp. 6-7 and 55-57,,mixed,A,0.94,-2550,-2470,"Ownerships and exact surface appearance are less secure than the excavated structural distinction.",,Menkaure;subsidiary pyramids;stepped;unfinished,needs_review,manual_seed,,,
EVID-KHAFRE-CAUSEWAY-FABRIC,SRC-HOLSCHER-CHEPHREN,Khafre causeway,enclosure and finish,"Khafre's causeway was a narrow covered corridor; excavated wall surfaces were undecorated and retained no paint traces.",narrow covered undecorated corridor,,,pp. 50 and 61-62,,mixed,A,0.88,-2580,-2470,"The lost roof height and lighting remain reconstructed; do not add unsupported bright relief decoration.",,Khafre;causeway;roofing;finish,needs_review,manual_seed,,,
EVID-SPHINX-TEMPLE-UNFINISHED,SRC-AERA-KHAFRE-UNIT,Sphinx complex,construction state,"The Sphinx Temple and quarry preserve evidence of unfinished work, including incomplete intended granite casing, raw megalithic limestone fabric, and irregular quarry cutting.",unfinished Sphinx Temple and quarry fabric,,,sections Unfinished business and conclusion,,mixed,B,0.90,-2580,-2470,"The degree of remaining construction debris and precise enclosure clearance at approximately 2500 BCE are not fixed.",,Sphinx;temple;quarry;unfinished,needs_review,manual_seed,,,
EVID-HEG-SETTLEMENT,SRC-AERA-LOST-CITY,Heit el-Ghurab,location scale and function,"A crown-built Fourth Dynasty settlement of more than seven hectares lay about 400 metres south of the Sphinx and supported construction of the Giza pyramid complexes.",low urban settlement south of Sphinx,7,ha,lines 33-53,,mixed,B,0.90,-2580,-2490,"At approximately 2500 BCE it may have been in its final active phase or early demobilization; the local guide polygon is schematic.",,Heit el-Ghurab;settlement;workers;administration,needs_review,manual_seed,,,
EVID-WALL-CROW,SRC-AERA-WALL-CROW,Wall of the Crow,dimensions and finish,"The Fourth Dynasty Wall of the Crow formed the northwest edge of Heit el-Ghurab, about 200 metres long and 10 metres high and thick at the base, with masonry faces left undressed and a monumental gateway.",200 m long unfinished masonry wall,200,m,lines 18-30,,mixed,B,0.94,-2575,-2470,"Function is debated and the rendered alignment is only an approximate guide; do not show later collapse.",,Heit el-Ghurab;wall;gateway;unfinished masonry,needs_review,manual_seed,,,
EVID-EASTERN-CEMETERY,SRC-HARVARD-EASTERN-PLAN,Khufu Eastern Cemetery,organized mastaba field,"Published expedition plans place royal-family mastabas in an organized cemetery east of Khufu's pyramid alongside the queens' pyramids.",orderly low mastaba rows east of Khufu,,,plan details and linked G 7000 monuments,,visual,B,0.86,-2600,-2400,"The cemetery expanded over time; the approximately 2500 BCE view must remain sparser than the complete excavated plan.",,Khufu;Eastern Cemetery;mastaba;royal family,needs_review,manual_seed,,,
EVID-WESTERN-CEMETERY,SRC-HARVARD-WESTERN-G4000,Khufu Western Cemetery,organized mastaba field,"Expedition plans document the orthogonal G 4000 mastaba field in the Western Cemetery beside Khufu's complex.",orderly low mastaba rows west of Khufu,,,lines 18-22 and 158-191,,visual,B,0.86,-2600,-2400,"The necropolis grew over generations; use only the early organized core and avoid the density of the later Old Kingdom field.",,Khufu;Western Cemetery;mastaba;G4000,needs_review,manual_seed,,,
EVID-ROYAL-CULT-ACTIVITY,SRC-HARVARD-COMPLEX,Royal pyramid complexes,ritual use,"Pyramid temples, causeways, and valley temples served royal funerals and later offering cults maintained by priests and attendants.",priests offerings and processional activity,,,Royal Pyramid Complexes lesson functional discussion,,textual,B,0.88,-2600,-2400,"The number and exact placement of people in a single panorama are illustrative; keep activity restrained.",,temple;priests;offerings;procession;daily life,needs_review,manual_seed,,,
